No,토픽 이름,분류,키워드(암기),암기법(해당경우),정의 요약 (35자 내외)
1,ITSM(Information Technology Service Management),MG> ITSM> ITSM,"ITIL V3, eSCM, CMMI, SLA, SLM, PMO, HA, 운영 및 유지보수, MTTF, MTBF, MTTR, QoS, SPICE, 품질관리","이삼씨투(ITIL. Escm, SLM, CMMI)",SLA 수준에 맞춰 IT 서비스 품질을 종합 관리하는 선진 IT 서비스 관리 기법
2,IT Outsourcing,MG > ITSM > IT Outsourcing,"Total/Selective/자회사/Co-Sourcing, ITIL, SLA, SLM, SoW, 취약점 및 개선방안",토셀자코,Value Chain 비전략적 부분을 외부 전문가에게 위탁하는 정보기술 위탁서비스
3,SoW (Statement of Work),MG > ITSM > SLM > SLA > SoW,"SoW, SLA, SLM, 제품, 서비스, 결과, Business case, RFP, BM",프업책,SLA의 세부 범위·작업내용을 규정하는 작업명세서로 서비스 수준관리 문서
4,SLA,MG > ITSM > SLA,"기본계약서, 서비스 카탈로그, SoW (Statement of Works), SLM (Service Level Metric), SLO (Service Level Objectives), SLM, SLR, 보상체계, 평가지표, 관리지표, SOW, SLM",기소카 메오메보,IT서비스 제공자와 사용자 간 서비스 수준을 정량적으로 합의한 계약서
5,SLM,MG > ITSM > SLM,"SOW, SLA, SLA서비스 측정/평가/개선, 계획/설계/운영/지속적평가",오삼(S)영(O)일,사용자 요구를 파악해 서비스·프로세스·조직역량·기술을 통합 관리하는 체계
6,Data Mining,MG > Mining 총론 > Data Mining,"연관성기법(지지도/신뢰도/리프트), 연속성, 분류, 군집화(Clustering), Machine Learning(기 계학습 연계), 특성화, 의사결정트리",AS 분데특신의,대량 데이터에 통계·모델링 기법을 적용해 숨겨진 패턴·관계를 도출하는 기법
7,CRISP-DM (Cross Industry Standard Process For Data Mining),MG > Mining 총론 > CRISP-DM,"CRISP-DM은 비즈니스 이해와 고객 요구사항 분석에 집중(Biz. Understanding, Data Understanding, Data Preparation, Modeling, Evaluation, Deployment), SEMMA 분석 방법론은 개발자 관점(Sample, Explore, Modify, Model, Assess)",비디투엠이디,비즈니스 이해 중심의 6단계로 구성된 데이터 마이닝 표준 프로세스 방법론
8,Process Mining,MG > Mining 총론 > Process Mining,"모델링, 조직성과, 정보시스템 로그, 현실세계",모조정로,정보시스템 로그 분석을 통해 업무 프로세스를 도출하고 개선하는 분석 기법
9,웹 마이닝(WEB Mining),MG > Mining 총론 > WEB Mining,"WWW, 온톨로지, ONTEX, RDF, Semantic Web, REST, Web Log","구내사(구조, 내용, 사용 마이닝)",웹상 사용자 데이터·로그 분석을 통해 가치 있는 정보를 추출하는 마이닝 기법
10,오피니언 마이닝(Opinion Mining),MG > Mining 총론 > Opinion Mining,"의견분석, 비정형데이터, 도메인지식추출, 의존적 단어, 양태분석, 전처리, 단서단어, 공기정보, 시스템평점","지오(지식 추출, 오피니언 추출)",SNS 등 대량 리뷰에서 사용자 의견을 신속히 분석·유추하는 마이닝 기술
11,텍스트 마이닝(Text Mining),MG > Mining 총론 > Text Mining,형태소 분석,"분요군(분류, 요약, 군집화)",비정형 텍스트 집단에서 자동으로 정보를 추출해 새 정보를 발견하는 기술
